Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Lebanon,Asia,6824713,1907,,36,,1348,,523,8,279,5,152335,22321,EasternMediterranean
Zambia,Africa,18387764,1895,,42,,1348,,505,1,103,2,56825,3090,Africa
Iceland,Europe,341284,1873,,10,,1847,,16,,5488,29,91350,267666,Europe
Lithuania,Europe,2721211,1844,,79,,1547,,218,15,678,29,444407,163312,Europe
Malawi,Africa,19134187,1818,,19,,317,,1482,4,95,1.0,17406,910,Africa
Guinea-Bissau,Africa,1968454,1790,,25,,760,,1005,5,909,13,1500,762,Africa
Slovakia,Europe,5459699,1767,,28,,1473,,266,3,324,5,219269,40161,Europe
Slovenia,Europe,2078944,1739,,111,,1423,,205,,836,53,109596,52717,Europe
Sierra Leone,Africa,7978847,1572,,63,,1088,,421,,197,8,,,Africa
Congo,Africa,5519340,1557,,44,,501,,1012,,282,8,,,Africa
New Zealand,Australia/Oceania,5002100,1537,1,22,,1492,,23,,307,4,419055,83776,WesternPacific
Cabo Verde,Africa,556086,1499,,18,,724,,757,,2696,32,39485,71005,Africa
Hong Kong,Asia,7498062,1300,,7,,1161,,132,1,173,0.9,347400,46332,WesternPacific
Yemen,Asia,29832928,1297,,348,,591,,358,,43,12,120,4,EasternMediterranean
Tunisia,Africa,11820670,1205,,50,,1049,,106,,102,4,73610,6227,EasternMediterranean
Benin,Africa,12125860,1199,,21,,333,,845,1,99,2,56613,4669,Africa
Libya,Africa,6872693,1182,,35,,295,,852,,172,5,31092,4524,EasternMediterranean
Rwanda,Africa,12955149,1172,,3,,595,,574,,90,0.2,166255,12833,Africa
Jordan,Asia,10204842,1169,,10,,969,,190,3,115,1.0,434295,42558,EasternMediterranean
Latvia,Europe,1885634,1134,,30,,1008,,96,1,601,16,160281,85001,Europe
Niger,Africa,24209171,1094,,68,,974,,52,,45,3,6603,273,Africa
Eswatini,Africa,1160364,1056,,14,,570,,472,5,910,12,14247,12278,Africa
Mozambique,Africa,31261908,1040,,8,,280,,752,,33,0.3,35140,1124,Africa
Cyprus,Asia,1207519,1005,,19,,839,,147,,832,16,167394,138626,Europe
Burkina Faso,Africa,20907695,1003,,53,,860,,90,,48,3,,,Africa
Uganda,Africa,45748875,971,,,,896,,75,,21,,212860,4653,Africa
Uruguay,South America,3473972,965,,29,,865,,71,,278,8,73609,21189,Americas
Georgia,Asia,3988993,963,5,15,,841,3,107,5,241,4,125314,31415,Europe
Liberia,Africa,5058848,917,,41,,394,,482,,181,8,,,Africa
Montenegro,Europe,628068,907,,17,,320,,570,,1444,27,14781,23534,Europe
Chad,Africa,16429175,873,,74,,788,,11,,53,5,,,Africa
Andorra,Europe,77268,855,,52,,800,,3,,11065,673,3750,48532,Europe
Zimbabwe,Africa,14866061,787,,9,,201,,577,,53,0.6,81335,5471,Africa
Jamaica,North America,2961421,745,8,10,,599,8,136,,252,3,27142,9165,Americas
Sao Tome and Principe,Africa,219210,724,,13,,279,,432,,3303,59,1873,8544,Africa
Diamond Princess,,,712,,13,,651,,48,4,,,,,
San Marino,Europe,33932,698,,42,,656,,0,,20571,1238,5729,168838,Europe
Togo,Africa,8280636,689,,15,,467,,207,2,83,2,33332,4025,Africa
Malta,Europe,441567,673,,9,,653,,11,,1524,20,103324,233994,Europe
Suriname,South America,586723,634,,15,,405,,214,7,1081,26,1244,2120,Americas
Channel Islands,Europe,173891,577,,47,,512,,18,,3318,270,21388,122997,
Réunion,Africa,895429,551,,3,,472,,76,3,615,3,35419,39555,
Namibia,Africa,2541487,539,,,,25,,514,1,212,,11834,4656,Africa
Tanzania,Africa,59746364,509,,21,,183,,305,7,9,0.4,,,Africa
Taiwan,Asia,23817676,449,,7,,438,,4,,19,0.3,77876,3270,WesternPacific
Angola,Africa,32872107,386,,21,,117,,248,6,12,0.6,10000,304,Africa
Syria,Asia,17504652,372,,14,,126,,232,,21,0.8,,,EasternMediterranean
Vietnam,Asia,97353756,369,,,,342,,27,1,4,,275000,2825,WesternPacific
Mauritius,Africa,1271812,342,,10,,330,,2,,269,8,193561,152193,Africa
Isle of Man,Europe,85042,336,,24,,312,,0,,3951,282,6829,80301,
Myanmar,Asia,54416540,316,,6,,245,,65,,6,0.1,85689,1575,South-EastAsia
Botswana,Africa,2352176,314,,1,,31,,282,1,133,0.4,47860,20347,Africa
Comoros,Africa,869804,311,,7,,266,,38,,358,8,,,Africa
Guyana,South America,786626,284,,16,,125,,143,11,361,20,2926,3720,Americas
Martinique,North America,375259,249,,14,,98,,137,5,664,37,,,
Mongolia,Asia,3279013,227,2,,,195,1,32,1,69,,25507,7779,WesternPacific
Eritrea,Africa,3547151,215,,,,56,,159,,61,,,,Africa
Cayman Islands,North America,65734,201,,1,,194,,6,,3058,15,25220,383668,
Burundi,Africa,11893062,191,,1,,118,,72,,16,0.08,749,63,Africa
Faeroe Islands,Europe,48867,188,,,,188,,0,,3847,,17468,357460,
Guadeloupe,North America,400125,184,,14,,157,,13,4,460,35,9649,24115,
Gibraltar,Europe,33691,179,,,,176,,3,,5313,,14934,443264,
Bermuda,North America,62273,148,,9,,137,,2,1,2377,145,12544,201436,Americas
Brunei ,Asia,437550,141,,3,,138,,0,,322,7,29841,68200,
Cambodia,Asia,16722405,141,,,,131,,10,1,8,,41733,2496,WesternPacific
Trinidad and Tobago,North America,1399580,133,,8,,117,,8,,95,6,5648,4035,Americas
Monaco,Europe,39247,108,,4,,95,,9,,2752,102,16200,412770,Europe
Aruba,North America,106775,105,,3,,98,,4,,983,28,2842,26617,
Bahamas,North America,393308,104,,11,,89,,4,1,264,28,2467,6272,Americas
Barbados,North America,287382,98,,7,,90,,1,,341,24,8411,29268,Americas
Lesotho,Africa,2142552,91,,,,11,,80,,42,,4331,2021,Africa
Liechtenstein,Europe,38130,84,,1,,81,,2,,2203,26,900,23603,Europe
Seychelles,Africa,98358,81,,,,11,,70,,824,,,,Africa
Bhutan,Asia,771747,80,,,,55,1,25,,104,,26128,33856,South-EastAsia
Sint Maarten,North America,42884,78,,15,,63,,0,,1819,350,523,12196,
Antigua and Barbuda,North America,97943,70,,3,,23,,44,1,715,31,796,8127,Americas
French Polynesia,Australia/Oceania,280939,62,,,,60,,2,,221,,4649,16548,
Gambia,Africa,2417167,61,,3,,27,,31,,25,1,3162,1308,Africa
Turks and Caicos,North America,38725,55,6,2,,11,,42,,1420,52,823,21252,
Macao,Asia,649468,46,,,,45,,1,,71,,4071,6268,
Saint Martin,North America,38675,43,,3,,37,,3,1,1112,78,851,22004,
Belize,North America,397719,30,,2,,19,,9,,75,5,2459,6183,Americas
St. Vincent Grenadines,North America,110947,29,,,,29,,0,,261,,926,8346,
Timor-Leste,Asia,1318751,24,,,,24,,0,,18,,1568,1189,South-EastAsia
Curaçao,North America,164106,23,,1,,19,,3,,140,6,1080,6581,
Grenada,North America,112533,23,,,,23,,0,,204,,5465,48564,Americas
Saint Lucia,North America,183643,22,,,,19,,3,,120,,1919,10450,Americas
Fiji,Australia/Oceania,896563,21,,,,18,,3,,23,,4000,4461,WesternPacific
New Caledonia,Australia/Oceania,285545,21,,,,21,,0,,74,,8663,30338,
Laos,Asia,7277093,19,,,,19,,0,,3,,18091,2486,WesternPacific
Dominica,North America,71990,18,,,,18,,0,,250,,623,8654,Americas
Saint Kitts and Nevis,North America,53206,16,,,,15,,1,,301,,493,9266,Americas
Falkland Islands,South America,3481,13,,,,13,,0,,3735,,1197,343867,
Greenland,North America,56772,13,,,,13,,0,,229,,4361,76816,Europe
Vatican City,Europe,801,12,,,,12,,0,,14981,,,,Europe
Montserrat,North America,4992,11,,1,,10,,0,,2204,200,61,12220,
Papua New Guinea,Australia/Oceania,8949096,11,,,,8,,3,,1,,7147,799,WesternPacific
Western Sahara,Africa,597475,10,,1,,8,,1,,17,2,,,Africa
MS Zaandam,,,9,,2,,,,7,,,,,,
